Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B00827,"CASTLE CAR SERVICE, INC",,2018,3,March,833,0,3
B03008,CROWN CAR & LIMO SERVICE INC.,,2019,9,September,68,0,5
B03030,Q-FIRST LIMOUSINE CORP.,,2020,8,August,1,0,1
B02110,"OPTIMUM CAR & LIMO, INC.",,2021,5,May,979,0,8
B03287,2S LUXURY INC.,,2020,9,September,316,0,6
B00850,UPTOWN TRANSIT CORP,,2018,3,March,235,0,9
B02594,FENIX MOBILE DISPATCHERS LTD,,2019,1,January,839,0,4
B01522,"STM ENTERPRISES,INC",JAVA CAR & LIMOUSINE SERVICE,2016,12,December,97,0,17
B01644,MUSIC EXPRESS/N.Y. INC,,2021,7,July,614,0,25
B01250,BELLE MANAGEMENT CORP.,GLEN BELLE CAR SERVICE,2018,1,January,354,0,8
B02315,LA MORENITA CAR LIMO SERVICE INC,,2019,3,March,"3,733",0,11
B00013,LOVE CORPORATE CAR INC,,2018,8,August,"2,651",0,91
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2020,10,October,"11,212",0,85
b00653,ROYAL CAR & LIMO SERVICE INC.,,2015,12,December,"4,960",0,57
B02817,ANYTIME FORSYTH TRANSPORT CORP,,2018,8,August,"1,477",0,14
B01045,CAPRICE CAR SERVICE NO.2 INC.,,2016,6,June,"7,369",0,43
B02738,EXPLORER CAR SERVICE INC.,,2020,5,May,"1,765",0,43
B01811,IVOIRE LIMO INC.,,2019,4,April,"1,869",0,31
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2018,6,June,"1,987",0,10
B02440,MLL LIMOUSINE SERVICES INC.,,2017,11,November,"1,278",0,36
B02360,BRIDGES LIMOUSINE INC,EXCELLENT LIMOUSINE,2018,1,January,106,0,5
B02229,NEW FAT INC.,ELEGANTE,2019,5,May,"1,178",0,24
B00277,ALL CITY CORP TRANS INC,,2018,3,March,"1,320",0,36
B01739,CITY CAR SERVICE CORP,DIGITAL CAR SERVICE,2018,7,July,"1,028",0,14
B02346,PIA CAR LIMO. INC.,,2016,2,February,86,0,4
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2018,10,October,225,0,17
B03051,VILLE DE LA LIBERTE CHAUFFEUR INC,,2018,9,September,"2,268",0,10
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2019,11,November,"1,480",0,7
B00411,FONE-A-CAR INC,,2019,10,October,"1,046",0,47
b00855,MAGNIFICENT 7'S ENTP INC,,2016,5,May,246,0,7
B03069,"HINOMARUNY INTERNATIONAL,INC",,2018,5,May,966,0,41
B02360,BRIDGES LIMOUSINE INC,EXCELLENT LIMOUSINE,2018,8,August,125,0,3
B02061,ROYAL COACHMAN LTD.,,2016,12,December,71,0,11
B01268,LAKEVIEW CARS INC.,CLOVE LAKE CARS,2019,2,February,"30,735",0,107
B03158,SPOTON.PET LLC,,2020,3,March,212,0,28
B01626,LA NUEVA QUISQUEYA C/S INC,,2021,5,May,"12,460",0,53
B00608,SUMMIT CORPORATE CAR INC.,,2015,3,March,"3,820",0,50
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,,2016,12,December,"13,735",0,56
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2018,9,September,192,0,1
B00746,BAMADU CAR SVCE,,2015,12,December,742,0,8
B01190,NEW BELL CAR SERVICE CORP,,2019,2,February,"3,430",0,20
B01644,MUSIC EXPRESS/N.Y. INC,,2017,7,July,"1,533",0,50
B02611,SS LIMOUSINE SERVICE INC,,2018,7,July,48,0,1
B03061,BLUE EAGLE TRANSPORTATION SERVICES CORP,,2018,9,September,424,0,15
B01233,NEW LACONIA RAD DISP INC,,2019,4,April,"5,414",0,32
B01751,CONCORDE EXP OF N.Y. INC,,2017,1,January,"2,929",0,10
B02687,ECO RIDE INC.,ELECTRIC BLUE CAR SERVICE,2019,2,February,"1,684",0,10
B02107,APOLLO RADIO DISPATCH INC.,,2015,12,December,"14,423",0,102
B00346,MERRICK C/S INC,,2021,3,March,255,0,2
JUNO,JUNO,JUNO,2018,2,February,"1,329,836",0,"21,431"
B03250,SALAM CAR SERVICE INC.,,2020,5,May,614,0,4
B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",,2019,2,February,"2,091",0,55
